iter	Passed	Remaining
529	405	359
530	406	358
531	406	357
532	407	357
533	408	356
534	409	355
535	409	354
536	410	353
537	410	352
538	411	351
539	411	350
540	412	349
541	412	348
542	412	347
543	413	346
544	414	345
545	414	344
546	415	343
547	415	342
548	416	341
549	416	340
550	417	339
551	417	339
552	418	338
553	419	337
554	419	336
555	420	335
556	420	334
557	421	333
558	421	332
559	421	331
560	422	330
561	424	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	325
567	427	324
568	427	324
569	428	323
570	428	322
571	429	321
572	429	320
573	430	319
574	430	318
575	431	317
576	431	316
577	432	315
578	432	314
579	433	314
580	434	313
581	434	312
582	435	311
583	436	310
584	436	309
585	436	308
586	437	307
587	438	307
588	439	306
589	439	305
590	440	304
591	440	303
592	441	302
593	441	301
594	442	300
595	442	300
596	443	299
597	443	298
598	444	297
599	445	296
600	445	295
601	446	295
602	446	294
603	447	293
604	447	292
605	448	291
606	450	291
607	452	291
608	453	291
609	453	290
610	454	289
611	455	288
612	455	287
613	456	287
614	458	287
615	459	286
616	460	285
617	460	284
618	461	283
619	461	283
620	462	282
621	462	281
622	463	280
623	463	279
624	464	278
625	464	277
626	465	276
627	465	275
628	468	276
629	471	276
630	471	275
631	472	275
632	472	274
633	473	273
634	474	272
635	474	271
636	475	270
637	475	269
638	476	269
639	476	268
640	477	267
641	478	266
642	478	265
643	478	264
644	479	263
645	479	263
646	480	262
647	486	264
648	487	263
649	488	263
650	489	262
651	490	261
652	491	260
653	491	260
654	492	259
655	493	258
656	493	257
657	558	290
658	559	289
659	560	288
660	566	290
661	567	289
662	568	288
663	569	288
664	570	287
665	571	286
666	572	286
667	574	285
668	575	284
669	576	284
670	577	283
671	578	282
672	579	281
673	580	280
674	581	279
675	581	278
676	582	278
677	587	279
678	589	278
679	594	279
680	595	278
681	596	277
682	628	291
683	630	291
684	631	290
685	632	289
686	636	290
687	638	289
688	639	288
689	640	287
690	641	286
691	642	285
692	643	284
693	644	284
694	645	283
695	645	282
696	646	281
697	647	280
698	648	279
699	652	279
700	653	278
701	654	277
702	654	276
703	655	275
704	656	274
705	657	273
706	658	272
707	659	271
708	660	270
709	661	270
710	661	269
711	674	272
712	675	271
713	676	270
714	677	269
715	678	268
716	680	268
717	681	267
718	682	266
719	683	265
720	683	264
721	684	263
722	685	262
723	686	261
724	687	260
725	688	259
726	689	258
727	690	257
728	690	256
729	691	255
730	692	254
731	693	253
732	694	253
733	696	252
734	696	251
735	697	250
736	698	249
737	699	248
738	700	247
739	702	246
740	703	245
741	704	244
742	704	243
743	705	242
744	743	254
745	744	253
746	745	252
747	746	251
748	747	250
749	748	249
750	751	249
751	752	248
752	753	247
753	755	246
754	756	245
755	757	244
756	758	243
757	759	242
758	761	241
759	761	240
760	762	239
761	763	238
762	764	237
763	765	236
764	766	235
765	766	234
766	767	233
767	769	232
768	772	231
769	772	230
770	773	229
771	774	228
772	776	228
773	777	227
774	788	229
775	789	228
776	790	226
777	791	225
778	792	224
779	793	223
780	794	222
781	794	221
782	795	220
783	796	219
784	797	218
785	808	220
786	810	219
787	813	218
788	816	218
789	818	217
790	820	216
791	820	215
792	821	214
793	822	213
794	823	212
795	824	211
796	833	212
797	835	211
798	836	210
799	837	209
800	839	208
801	847	209
802	848	208
803	853	208
804	855	207
805	857	206
806	859	205
807	860	204
808	861	203
809	907	212
810	908	211
811	909	210
812	910	209
813	918	209
814	919	208
815	921	207
816	922	206
817	923	205
818	924	204
819	925	203
820	926	202
821	933	202
822	934	201
823	936	199
824	936	198
825	938	197
826	938	196
827	943	196
828	945	195
829	949	194
830	951	193
831	952	192
832	952	191
833	953	189
834	986	194
835	987	193
836	988	192
837	990	191
838	992	190
839	993	189
840	998	188
841	999	187
842	1000	186
843	1001	185
844	1002	183
845	1003	182
846	1010	182
847	1011	181
848	1012	180
849	1014	178
850	1015	177
851	1016	176
852	1017	175
853	1017	174
854	1018	172
855	1019	171
856	1022	170
857	1024	169
858	1025	168
859	1025	167
860	1027	165
861	1028	164
862	1029	163
863	1030	162
864	1031	160
865	1032	159
866	1033	158
867	1033	157
868	1039	156
869	1040	155
870	1042	154
871	1044	153
872	1045	152
873	1046	150
874	1049	149
875	1050	148
876	1051	147
877	1055	146
878	1056	145
879	1058	144
880	1059	143
881	1059	141
882	1060	140
883	1063	139
884	1064	138
885	1065	137
886	1069	136
887	1070	134
888	1071	133
889	1072	132
890	1072	131
891	1073	129
892	1074	128
893	1074	127
894	1075	126
895	1075	124
896	1079	123
897	1080	122
898	1085	121
899	1087	120
900	1091	119
901	1092	118
902	1093	117
903	1093	116
904	1094	114
905	1095	113
906	1096	112
907	1102	111
908	1103	110
909	1105	109
910	1106	108
911	1106	106
912	1107	105
913	1108	104
914	1109	103
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1115	96
920	1116	95
921	1117	94
922	1118	93
923	1118	92
924	1119	90
925	1120	89
926	1121	88
927	1121	87
928	1122	85
929	1122	84
930	1123	83
931	1124	82
932	1124	80
933	1125	79
934	1125	78
935	1126	77
936	1127	75
937	1130	74
938	1130	73
939	1131	72
940	1132	70
941	1132	69
942	1133	68
943	1134	67
944	1134	66
945	1135	64
946	1136	63
947	1136	62
948	1137	61
949	1137	59
950	1138	58
951	1139	57
952	1139	56
953	1140	54
954	1141	53
955	1142	52
956	1145	51
957	1145	50
958	1146	49
959	1147	47
960	1147	46
961	1148	45
962	1149	44
963	1149	42
964	1150	41
965	1150	40
966	1151	39
967	1151	38
968	1152	36
969	1153	35
970	1153	34
971	1154	33
972	1155	32
973	1155	30
974	1156	29
975	1157	28
976	1159	27
977	1160	26
978	1161	24
979	1161	23
980	1162	22
981	1163	21
982	1163	20
983	1164	18
984	1165	17
985	1165	16
986	1166	15
987	1166	14
988	1167	12
989	1168	11
990	1168	10
991	1169	9
992	1169	8
993	1170	7
994	1170	5
995	1171	4
996	1174	3
997	1175	2
998	1176	1
999	1176	0
